reviewer,stars,title,review,date
Akhilesh Kumar,1,Hated it!,"Hated it!. The book is copy. Words are faded at some places, the pages are dirty and the barcode provided at the back of the book does not scan.",2020-06
Alka Yadav,4,Pretty good,Pretty good. Awesome book,2020-06
Anupam Dutta%20Roy,5,Highly recommended,Highly recommended. Loved it. The things I had in my mind for so long have been explained so perfectly with proper research.,2020-06
Kumar Dhruva,3,Fair,Fair. It's not really copy,2020-06
Flipkart Customer,1,Worthless,Worthless. First 10 pages crushed. Seems like an old discarded product. Disappointed.,2020-06
Sruti K,5,Why successful people are successful...,Why successful people are successful.... I have read 135 pages so far and the example of ice-hockey players is striking! Loving it!,2019-10
Nick Lalrinmawia,5,Terrific,Terrific. Packed with facts that radiate positivity to readers,2019-10
Debopriya Haldar,5,Excellent,Excellent. Everything is perfect!,2019-10
Abhijeet Ghosh,5,Best in the market!,"Best in the market!. Excellent book , delivered in good condition .. Although just 1 question ..why did you guys @flipkart stop giving out bookmarks ??",2019-10
Raja Kumar,4,Nice product,Nice product. nice book and delivery boy is very honest 😊,2019-10
neha singh,5,Mind-blowing purchase,Mind-blowing purchase. must read book,2019-10
Rohit  Debnath,4,Worth the money,Worth the money. page quality is good but its cover pages looks a little damaged. Please take care of the products you deliver. We are paying to get fresh and new products. Thankyou.,2019-10
Junaid  Sheikh,2,Slightly disappointed,Slightly disappointed. the quality of book is not so good and also old one. I always received good quality books from flipkart bt this book not upto the standard.,2019-10
Nirved Vaishnaw,5,Great product,Great product. The book quality is good and the language is also understandable. Been heard of Malcolm Gladwell a lot and been able to bought this in Flipkart.,2019-10
CHANDRASHEKHAR ,5,Best in the market!,Best in the market!. this book is amazing it can change our life our way of thinking,2019-10
GAURAV TIWARI,5,Best in the market!,Best in the market!. our unit ceo recomanded this me to read i can its great book of learnings with story,2018-11
Dhanush ml Gowda,5,Super!,Super!. good,2018-11
Amith Prahalada,5,Mind-blowing purchase,Mind-blowing purchase. An absolute gem of a book. The perfect book to read in your early 20's.,2018-11
Naveenchowdary Nallani,4,Very Good,Very Good. good,2018-11
Shivam Dubey,5,Perfect product!,Perfect product!. Best Books..,2018-11
ARUNKUMAR T,5,Terrific purchase,Terrific purchase. Wow,2018-11
Flipkart Customer,5,Fabulous!,Fabulous!. good,2018-11
Deepjyoti Talukdar,5,Best in the market!,Best in the market!. Awesome,2018-11
Nishant Ingle,3,Fair,"Fair. Starting is exciting, boring middle, good ending. Some things said are matter of belief differing from individual to individual.",2018-11
Flipkart Customer,3,Fair,Fair. fantastic book ..,2018-11
sangram jagtap,5,Highly recommended,Highly recommended. Outstanding Book,2018-06
Satyam Raj,5,Nice read.,"Nice read.. The book is very much ""visualized storytelling"". The author has tried to elucidate various happenings of the past in the form of personalized stories which convey a message and at the same time compels the reader to see how it all boils down to simple formulas. Must read.",2018-06
RANGA SWAMY D,5,Perfect product!,Perfect product!. Good...,2018-06
shashi kant,3,Nice,Nice. liking it...,2018-06
Surendra Vuppala,5,Just wow!,Just wow!. stupendous,2018-06
Flipkart Customer,5,Out liners,Out liners. Good,2018-06
Angsuman Chaudhuri,1,Waste of money!,"Waste of money!. I have doubt, whether this is the original print from Penguin publishing. Worst paper quality I have ever seen in any book, you will loose all the interest of reading such a good book.",2018-06
Flipkart Customer,1,Terrible product,Terrible product. Not happy with quality,2018-06
MADHUR JAIN,1,Hated it!,Hated it!. Poor quality of book received,2018-06
Manju Prasad,1,Cheap quality,Cheap quality. I'll never order any books from Flipkart. I wanted to gift my friend a book for his birthday. The book I received is of very cheap quality and it looks like a Pirated Version. I never expected this 3rd rated service from Flipkart.,2018-06
Amit  Tiwari,3,Good,Good. Quit good but not as much aspected,2017-11
Reetu,5,Brilliant,Brilliant. I received this book on time and it is worth reading.,2017-11
Rohit das,5,Super!,Super!. superb,2017-11
Seema Rastogi,4,Nice product,Nice product. Nice,2017-11
Ranjeet Ranjan,3,Book pages missing,Book pages missing. Book is very good written and inspiring. But  page no 102 to 118 is missing.,2017-11
Raman Dhiman,4,Pretty good,Pretty good. Nice book for motivation,2017-11
SAKSHI SHARMA,5,Excellent,Excellent. Product is in good condition..,2017-11
subho mistri,4,Worth the money,Worth the money. Just completed first chapter after receiving the book. Writer puts facts infront of us. It's mesmerizing that how things happen. For now I'm giving 4 stars. But it will be edited shortly after I finished the book.,2017-11
ravi,5,Super!,Super!. Author tell to readers about modern times success,2017-11
Rakesh Tiwari,5,Terrific,Terrific. Are u ready to invest 10000 hrs of your time to become perfect.,2017-11
Shrikant  Bhat,5,Must buy!,Must buy!. Amazing book,2016-08
Nitin Kumar,5,Perfect product!,Perfect product!. One of the books highly recommended.,2016-08
manoj satapathy,5,Perfect product!,Perfect product!. It is very good book,2016-08
Ayan Dey,5,Just wow!,Just wow!. Great book,2016-08
Intikhab Ahmad,4,Really Nice,Really Nice. Nice read,2016-08
Kunal  Agarwal,4,Good quality product,"Good quality product. An must read book from everyone , good packaging by Flipkart but too late delivery it took​ 6 days so recommend Flipkart to deliver to early",2016-08
Flipkart Customer,4,hindi language,hindi language. Provide hindi and english both language,2016-08
Aditya,5,Classy product,Classy product. The book was fantastic. And their weren't any problems with the delivery process,2016-08
PRAKASH SHUKLA,5,Just wow!,Just wow!. A very good book to read. It contains the story of some successful peoples and the reasons for their success. If you've chosen this book definitely you'll find your answer in this book. It motivates you and filled you with energy to do something.,2016-08
